STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,TOTAL_PROFIT,USD_per_student,USD_PROFIT_per_student,CAPOUT_RATIO,STUDENT_REV_RANK,STUDENT_PROFIT_RANK,CAPOUT_RATIO_RANK,RANK_SUM
Florida,2001,2431884.0,18467090,1563902,9120855,7782333,18389394,8412975,5514993,1197780.0,2868679,77696,7593.73802368863,31.948892299139267,0.1594204138870329,34.0,22.0,48.0,104.0
Georgia,2001,1444937.0,12271962,758799,5945868,5567295,11853800,6336556,3131291,566956.0,1620496,418162,8493.077552862167,289.3980844839602,0.1390351290001226,23.0,5.0,42.0,70.0
Hawaii,2001,184360.0,1682332,140953,1511318,30061,1363164,732512,412203,105505.0,112944,319168,9125.254935994793,1731.2215231069647,0.08285430072977279,19.0,1.0,13.0,33.0
Idaho,2001,243926.0,1571348,123520,964414,483414,1535485,853733,461819,64896.0,124442,35863,6441.904512024138,147.0240974721842,0.08269175820159613,48.0,13.0,12.0,73.0
Illinois,2001,2025249.0,18534372,1411096,6637462,10485814,19337580,9317202,5702703,664402.0,2637635,-803208,9151.650982175524,-396.5971591641324,0.14396044917072656,18.0,41.0,43.0,102.0
Indiana,2001,987854.0,9124748,444861,4590018,4089869,8991877,4364661,2553481,395908.0,832585,132871,9236.939871681443,134.50469401348784,0.10219986534317543,15.0,14.0,21.0,50.0
Iowa,2001,495080.0,4068110,239495,1943702,1884913,4211493,1994331,1171278,271596.0,405205,-143383,8217.076028116668,-289.6158196655086,0.10545595082253065,27.0,38.0,24.0,89.0
Kansas,2001,468347.0,3681845,238960,2253677,1189208,3491029,1721113,1159966,220701.0,209716,190816,7861.3613410569515,407.42440967914814,0.06332968543522323,31.0,4.0,5.0,40.0
Kentucky,2001,643730.0,4536133,446180,2727410,1362543,4350588,2467964,1372283,254444.0,156395,185545,7046.639118885247,288.23419756730306,0.03678942274985733,41.0,6.0,2.0,49.0
Louisiana,2001,737223.0,4982369,577645,2425436,1979288,4939894,2654239,1457593,316925.0,409235,42475,6758.292945282499,57.614860089823566,0.08458777939277287,45.0,17.0,14.0,76.0
Maine,2001,207171.0,1914551,112074,812384,990093,1958646,1118171,513216,79883.0,149225,-44095,9241.404443672136,-212.8434964353119,0.08020714917266641,14.0,33.0,10.0,57.0
Maryland,2001,852920.0,7864290,467001,2928704,4468585,7981362,4172982,2366854,369293.0,813068,-117072,9220.430990010787,-137.26023542653473,0.10528972519090099,16.0,30.0,23.0,69.0
Massachusetts,2001,965934.0,10613329,490388,4328575,5794366,10572138,6135199,2711995,338708.0,944333,41191,10987.63373066897,42.643700294223,0.09321925898066531,6.0,19.0,18.0,43.0
Michigan,2001,1705088.0,16772419,1090642,10480592,5201185,17573761,8136476,5430837,795607.0,2007947,-801342,9836.688194392313,-469.9710513474964,0.12265367497029937,11.0,43.0,33.0,87.0
Minnesota,2001,836386.0,7836617,350797,4694722,2791098,8221636,3981906,2112589,569072.0,964810,-385019,9369.617616746335,-460.336495350233,0.12647644446518572,13.0,42.0,37.0,92.0
Mississippi,2001,496513.0,2823151,385896,1519788,917467,2930393,1548979,847817,190656.0,282202,-107242,5685.955856140726,-215.99031646704114,0.09834007862968845,51.0,34.0,19.0,104.0
Missouri,2001,911673.0,7081783,464119,3272289,3345375,7100685,3659465,2100767,402233.0,715516,-18902,7767.898138916037,-20.733311176266053,0.10402994716036582,32.0,24.0,22.0,78.0
Montana,2001,154700.0,1139959,128783,537866,473310,1129098,638218,354844,44456.0,73732,10861,7368.836457659987,70.20685197155785,0.06635050618672667,39.0,15.0,6.0,60.0
Nebraska,2001,285331.0,2355374,166068,806280,1383026,2344564,1256013,634842,100439.0,278832,10810,8254.882925444484,37.88582383267153,0.12282666248481362,26.0,21.0,34.0,81.0
Nevada,2001,339451.0,2381897,118318,1438406,825173,2692840,1171360,734647,76426.0,575873,-310943,7016.909657063906,-916.0173338714571,0.22509934308092933,42.0,50.0,51.0,143.0
New Hampshire,2001,204721.0,1757828,76689,884225,796914,1796043,937479,486152,53143.0,166814,-38215,8586.456689836412,-186.66868567464988,0.10149380501682903,22.0,31.0,20.0,73.0
New Jersey,2001,1301195.0,16854895,620507,6617681,9616707,17144456,8782754,5499870,610241.0,1466889,-289561,12953.396685354617,-222.53467005329716,0.08966449006507066,3.0,35.0,16.0,54.0
New Mexico,2001,319524.0,2373143,327191,1691663,354289,2315182,1096488,761848,114558.0,308741,57961,7427.1197155769205,181.39795445725517,0.13531568370926988,37.0,11.0,40.0,88.0
New York,2001,2856277.0,34373567,1912495,16032781,16428291,38062603,22052316,9100764,1157116.0,4579196,-3689036,12034.395473548258,-1291.554005441349,0.12413313832876399,4.0,51.0,36.0,91.0
North Carolina,2001,1277013.0,9670620,661215,6065716,2943689,9807815,5187906,2587298,508494.0,1307270,-137195,7572.843815998741,-107.43430176513473,0.13630219598272042,35.0,29.0,41.0,105.0
North Dakota,2001,108788.0,818139,102694,301755,413690,814838,419201,218137,58449.0,57760,3301,7520.4893922123765,30.343420230172445,0.07665082602677736,36.0,23.0,9.0,68.0
Ohio,2001,1821546.0,16693845,956899,7088781,8648165,16282257,8001840,5327100,769489.0,1712711,411588,9164.657384441567,225.9553148808759,0.10832305576953971,17.0,8.0,26.0,51.0
Oklahoma,2001,623110.0,4257128,419762,2394346,1443020,4288405,2119420,1386368,417849.0,322947,-31277,6832.064964452505,-50.194989648697664,0.0760486546362912,44.0,25.0,8.0,77.0
Oregon,2001,544756.0,4561948,327582,2565977,1668389,4715944,2435402,1553819,160650.0,419442,-153996,8374.296015096666,-282.6880291359802,0.09179541869860962,24.0,37.0,17.0,78.0
Pennsylvania,2001,1771473.0,17792997,1083862,6305118,10404017,18666522,9182658,5142302,708895.0,1869506,-873525,10044.18187576102,-493.10658418163865,0.11059966121530505,9.0,45.0,28.0,82.0
Rhode Island,2001,156275.0,1592622,88341,663991,840290,1504125,920848,464571,49573.0,27392,88497,10191.150215965445,566.2901935690289,0.018731058326677534,8.0,3.0,1.0,12.0
South Carolina,2001,676681.0,5437615,430966,2924025,2082624,5492539,2660503,1545738,297845.0,843817,-54924,8035.714021821213,-81.1667536106378,0.15778464942239978,29.0,27.0,47.0,103.0
South Dakota,2001,127986.0,886661,104645,316617,465399,950595,471683,265808,39681.0,143663,-63934,6927.7967902739365,-499.5390120794462,0.15601383526907645,43.0,46.0,45.0,134.0
Tennessee,2001,895839.0,5560822,494851,2494453,2571518,6165661,3282993,1556508,323329.0,868777,-604839,6207.389943951983,-675.1648454688844,0.1440374016410552,49.0,49.0,44.0,142.0
Texas,2001,4021535.0,30868844,2631160,12688089,15549595,33201450,15916451,9050782,1476787.0,4898465,-2332606,7675.885949021953,-580.0287701089261,0.15628834152748258,33.0,47.0,46.0,126.0
Utah,2001,477380.0,2741771,228659,1588164,924948,2669621,1438459,653354,200475.0,311553,72150,5743.372156353429,151.1374586283464,0.119651315114863,50.0,12.0,32.0,94.0
Vermont,2001,97715.0,1300273,60383,732580,507310,1306513,595191,303287,28777.0,62053,-6240,13306.790155042727,-63.859182315918744,0.06272364117140466,2.0,26.0,4.0,32.0
Virginia,2001,1143807.0,9493862,531724,3976620,4985518,9862715,5142049,2865861,378979.0,1113113,-368853,8300.230720742224,-322.47835517705346,0.1171697648063653,25.0,39.0,31.0,95.0
Washington,2001,1004843.0,7936037,561773,5032514,2341750,8026334,3984476,2330122,367295.0,1028063,-90297,7897.788012654713,-89.86179930596123,0.13334226550709238,30.0,28.0,38.0,96.0
West Virginia,2001,285785.0,2321731,244971,1388046,688714,2310098,1306105,699263,159933.0,131916,11633,8124.047798169953,40.70542540721171,0.05742426597051998,28.0,20.0,3.0,51.0
Wisconsin,2001,875569.0,8363904,398365,4517924,3447615,8574804,4434212,2495299,280656.0,943973,-210900,9552.535551167299,-240.871935849716,0.11576610163671461,12.0,36.0,29.0,77.0
Wyoming,2001,89711.0,804297,69172,403021,332104,787949,426072,254937,24913.0,67913,16348,8965.422300498267,182.22960395046314,0.0877616029256883,20.0,10.0,15.0,45.0
Alabama,2002,726367.0,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949.0,496146,-19262,7060.561671992257,-26.51827519697343,0.09823848453119975,45.0,15.0,15.0,75.0
Alaska,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,-145560,10358.371551011202,-1094.353807984362,0.1437634689196233,11.0,50.0,39.0,100.0
Arizona,2002,859588.0,6192222,619869,2825228,2747125,6018188,2659448,1833852,286945.0,966925,174034,7203.70921883507,202.46210975490584,0.16824367471294568,43.0,7.0,49.0,99.0
Arkansas,2002,449161.0,3147921,331069,2334551,482301,3087453,1697645,910208,165003.0,239177,60468,7008.44685981196,134.62433292293855,0.0794071645297379,47.0,8.0,10.0,65.0
California,2002,6136915.0,54727056,5084409,31005317,18637330,56464225,28593157,15568570,2882414.0,6998522,-1737169,8917.681929764385,-283.0687731539381,0.12949994710660354,22.0,34.0,35.0,91.0
Colorado,2002,741319.0,5849588,338856,2460333,3050399,6237142,2963406,1967267,225545.0,779315,-387554,7890.7838595800185,-522.7897841549994,0.1312965491051941,36.0,42.0,36.0,114.0
Connecticut,2002,543829.0,6644334,288620,2490036,3865678,6475918,3570517,1847167,241930.0,542302,168416,12217.689751741817,309.6855813132437,0.08744104241334452,5.0,3.0,14.0,22.0
Delaware,2002,111331.0,1180255,86532,764350,329373,1246284,645895,352551,51060.0,154186,-66029,10601.314997619711,-593.087280272341,0.12809423008543713,7.0,43.0,33.0,83.0
District of Columbia,2002,68449.0,1138126,141514,0,996612,1145684,452905,431693,42192.0,218894,-7558,16627.357594705547,-110.41797542696023,0.1910596639212907,1.0,22.0,50.0,73.0
Florida,2002,2500179.0,18541689,1762460,8542871,8236358,19051049,8781232,5589428,1245146.0,2999914,-509360,7416.144604046351,-203.72941297403105,0.1611495016040207,39.0,31.0,46.0,116.0
Georgia,2002,1470634.0,13042229,904826,6361710,5775693,12690343,6894589,3341604,616115.0,1659378,351886,8868.439734155472,239.27503376094936,0.1326262503710531,24.0,5.0,37.0,66.0
Hawaii,2002,184546.0,1889600,170152,1684226,35222,1436637,815123,457784,121615.0,42115,452963,10239.181559069284,2454.4720557476185,0.029314990495163357,13.0,1.0,2.0,16.0
Idaho,2002,244937.0,1625444,138930,988386,498128,1666027,896815,499035,67785.0,167918,-40583,6636.171750286809,-165.68750331717953,0.10291912061698272,48.0,29.0,19.0,96.0
Illinois,2002,2047836.0,19084554,1438287,6808150,10838117,20563001,9904454,6025120,683101.0,2897117,-1478447,9319.376160981641,-721.9557620825105,0.1484955349600857,20.0,46.0,41.0,107.0
Indiana,2002,994348.0,9273957,523331,4446730,4303896,9353054,4586033,2650367,365778.0,875596,-79097,9326.671346450135,-79.54659736832578,0.10328135663913664,19.0,20.0,20.0,59.0
Iowa,2002,485932.0,4191217,273857,1951680,1965680,4418238,2109878,1180608,278099.0,459382,-227021,8625.110097709145,-467.18676687273114,0.11404810416768559,26.0,40.0,26.0,92.0
Kansas,2002,470204.0,3823261,282329,2281992,1258940,3690815,1958937,1195259,166405.0,231630,132446,8131.068642546639,281.6777398746076,0.06520690799669278,32.0,4.0,6.0,42.0
Kentucky,2002,654363.0,4621025,486226,2743882,1390917,4541670,2598897,1424273,277021.0,146218,79355,7061.867801205141,121.27060973802003,0.032884514222600754,44.0,9.0,3.0,56.0
Louisiana,2002,725027.0,5229238,667687,2536111,2025440,5298267,2882613,1536497,329637.0,443002,-69029,7212.473466505386,-95.20886808353345,0.08532808500565031,42.0,21.0,13.0,76.0
Maine,2002,205344.0,2041986,141528,853761,1046697,2057022,1180701,548552,78092.0,140092,-15036,9944.220430107527,-73.22346891070593,0.07193660180021227,14.0,19.0,7.0,40.0
Maryland,2002,860640.0,8430663,527311,3133775,4769577,8568446,4482809,2469485,392195.0,941083,-137783,9795.806609035137,-160.09365123628928,0.11358093321740491,16.0,28.0,24.0,68.0
Massachusetts,2002,959641.0,11217085,600037,4681737,5935311,11507438,6256148,3256542,351743.0,1154305,-290353,11688.83467880176,-302.5641880661622,0.10475836706526646,6.0,35.0,21.0,62.0
Michigan,2002,1724961.0,18055855,1254550,11203813,5597492,18881772,8402799,5841256,862090.0,2353031,-825917,10467.398973078232,-478.80328888595164,0.13477331347138033,9.0,41.0,38.0,88.0
Minnesota,2002,832265.0,8065042,409915,4771002,2884125,8716123,4113812,2071915,595228.0,1283085,-651081,9690.473587138711,-782.3001087394039,0.1591119339685815,18.0,47.0,45.0,110.0
Mississippi,2002,492198.0,3029559,438583,1639832,951144,3026111,1586661,875637,196509.0,299474,3448,6155.163166042934,7.005310870828406,0.1012324387034227,50.0,12.0,16.0,78.0
Missouri,2002,909918.0,7455539,544538,3347137,3563864,7636924,3901665,2224948,432144.0,828732,-181385,8193.638327849323,-199.34213852237235,0.11218047160543995,30.0,30.0,23.0,83.0
Montana,2002,151751.0,1168799,151981,554360,462458,1163960,662030,361751,47877.0,70448,4839,7702.084335523325,31.8877635073245,0.06168254084997365,37.0,11.0,4.0,52.0
Nebraska,2002,283789.0,2528312,199359,879775,1449178,2562812,1338653,667614,107557.0,365430,-34500,8909.126146538449,-121.56919401386241,0.14739514386182295,23.0,24.0,40.0,87.0
Nevada,2002,354869.0,2592064,152525,1582993,856546,2913023,1343669,738868,87437.0,604874,-320959,7304.284116110452,-904.4436115862474,0.21798455266738934,41.0,49.0,51.0,141.0
New Hampshire,2002,203072.0,1887115,85440,943592,858083,1956047,1047490,523976,57559.0,186830,-68932,9292.837023321777,-339.44610778443115,0.1028881711370126,21.0,36.0,18.0,75.0
New Jersey,2002,1326196.0,18071365,720470,7336383,10014512,18155147,9328162,5983500,611449.0,1406121,-83782,13626.466223695441,-63.17467403008303,0.0811415647271616,3.0,18.0,12.0,33.0
New Mexico,2002,317548.0,2537261,352892,1832491,351878,2542682,1195658,814180,123712.0,373224,-5421,7990.165266353433,-17.071434869688993,0.14888617801205853,34.0,14.0,42.0,90.0
New York,2002,2846068.0,35748163,2206496,17337735,16203932,39585780,23167459,9379511,1183476.0,4809068,-3837617,12560.544231550335,-1348.3925893548574,0.12478278786805666,4.0,51.0,32.0,87.0
North Carolina,2002,1296156.0,9701231,777970,5929203,2994058,9882399,5339340,2625671,523333.0,1133555,-181168,7484.616820814778,-139.77329889303448,0.11780990426110272,38.0,26.0,28.0,92.0
North Dakota,2002,105936.0,846759,111063,303280,432416,838666,435631,224356,58523.0,57468,8093,7993.118486633439,76.39518199667724,0.07405880063610051,33.0,10.0,8.0,51.0
Ohio,2002,1796603.0,17589983,982401,7811620,8795962,17608944,8477091,5665971,784876.0,2128307,-18961,9790.689985489282,-10.553806266604253,0.12478168553512219,17.0,13.0,31.0,61.0
Oklahoma,2002,622115.0,4370415,497834,2345888,1526693,4467944,2193731,1439564,445761.0,341768,-97529,7025.091823858933,-156.77005055335428,0.07730866462903749,46.0,27.0,9.0,82.0
Oregon,2002,549604.0,4772603,395295,2662513,1714795,4980466,2475697,1597299,171505.0,557041,-207863,8683.712272836443,-378.20503489785375,0.11601293917662284,25.0,37.0,27.0,89.0
Pennsylvania,2002,1766513.0,18586743,1290818,6637673,10658252,20018554,9673879,5448465,757486.0,2252267,-1431811,10521.713115046421,-810.5295573822553,0.12421436968928636,8.0,48.0,30.0,86.0
Rhode Island,2002,156624.0,1633707,96488,676371,860848,1600087,964169,484397,56173.0,27003,33620,10430.757738277658,214.6542036980284,0.017628947955987365,10.0,6.0,1.0,17.0
South Carolina,2002,674347.0,5627004,494207,2857497,2275300,5897462,2832106,1620800,315248.0,956612,-270458,8344.374632051451,-401.0665132342844,0.16710062909121526,29.0,38.0,48.0,115.0
South Dakota,2002,127129.0,930874,127130,346086,457658,981977,485846,271549,42634.0,149374,-51103,7322.278945008613,-401.9775188981271,0.15733466188752301,40.0,39.0,44.0,123.0
Tennessee,2002,897695.0,5785857,550490,2544653,2690714,6363357,3478604,1624709,328546.0,762594,-577500,6445.236968012521,-643.3142659812074,0.1231091752572826,49.0,44.0,29.0,122.0
Texas,2002,4112315.0,32802734,2941562,12930564,16930608,35668486,16826484,9580137,1582967.0,5399775,-2865752,7976.707523621123,-696.8707406898548,0.16172141409226645,35.0,45.0,47.0,127.0
Utah,2002,480526.0,2865058,238599,1680625,945834,2924051,1534954,683525,200572.0,426219,-58993,5962.337105588459,-122.7675505591789,0.14979914032763147,51.0,25.0,43.0,119.0
Vermont,2002,96427.0,1387074,68819,766164,552091,1392880,628188,326292,31686.0,65657,-5806,14384.70552853454,-60.21135159239632,0.06242209953575839,2.0,17.0,5.0,24.0
Virginia,2002,1162045.0,9914221,624507,4002347,5287367,10209197,5373701,3003921,399357.0,1127185,-294976,8531.701440133558,-253.84214897013456,0.1138092018670127,28.0,32.0,25.0,85.0
Washington,2002,1009200.0,8250593,640386,5194962,2415245,8362656,4182265,2430537,382728.0,1037135,-112063,8175.379508521602,-111.04141894569956,0.12911468360749515,31.0,23.0,34.0,88.0
West Virginia,2002,282145.0,2413744,258017,1451026,704701,2427316,1346601,710125,163018.0,194544,-13572,8554.977050807209,-48.10292580056354,0.0805802787405645,27.0,16.0,11.0,54.0
Wisconsin,2002,875216.0,8624767,450159,4682300,3492308,8863966,4642886,2601068,325160.0,863118,-239199,9854.443931555183,-273.3028189612621,0.10235937531130547,15.0,33.0,17.0,65.0
Wyoming,2002,87897.0,908719,75498,443525,389696,868607,463839,272836,27488.0,92550,40112,10338.452961989602,456.3523214671718,0.10802917663208099,12.0,2.0,22.0,36.0
Alabama,2003,727900.0,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662.0,432279,-102878,7138.417365022668,-141.33534826212392,0.0832023549546782,46.0,26.0,14.0,86.0
Alaska,2003,133303.0,1425948,259423,813371,353154,1610289,763525,514052,55715.0,247005,-184341,10697.043577413862,-1382.8721034035243,0.1563028974933193,12.0,50.0,48.0,110.0
Arizona,2003,875111.0,6529894,740579,2912629,2876686,6210287,2810907,1964229,303924.0,864642,319607,7461.78941871374,365.21881224210415,0.14547196343289082,43.0,6.0,43.0,92.0
Arkansas,2003,450158.0,3241275,379947,2394336,466992,3242799,1768713,972598,170767.0,247245,-1524,7200.3052261650355,-3.385477987728753,0.07825885482427723,45.0,16.0,12.0,73.0
California,2003,6226552.0,59815855,5795655,33617766,20402434,59749885,29561563,17030335,2995767.0,7341541,65970,9606.577605069388,10.594948857730571,0.12895913215441648,20.0,14.0,36.0,70.0
Colorado,2003,751049.0,6297242,400219,2715219,3181804,6685029,3168745,2149761,236480.0,821129,-387787,8384.595412549646,-516.3271637403152,0.12878202479095813,30.0,40.0,35.0,105.0
Connecticut,2003,548466.0,6959891,351001,2481901,4126989,6751815,3721466,1951609,252325.0,539870,208076,12689.740111511015,379.3781200657835,0.08350308649136076,5.0,5.0,15.0,25.0
Delaware,2003,111282.0,1242436,91986,794472,355978,1317447,673997,367660,53399.0,171247,-75011,11164.752610485073,-674.0622921946047,0.13523382634330014,10.0,45.0,40.0,95.0
District of Columbia,2003,67522.0,1114061,152599,0,961462,1105963,473414,406078,32193.0,194278,8098,16499.229880631498,119.93128165634904,0.17566410449535835,1.0,9.0,50.0,60.0
Florida,2003,2536699.0,19549835,1956803,8689141,8903891,20180142,9622598,5938231,1225274.0,2924134,-630307,7706.8012405098125,-248.4752822467309,0.14835610551004536,38.0,33.0,45.0,116.0
Georgia,2003,1495819.0,13524807,1051973,6551699,5921135,13516783,7352918,3615906,649880.0,1705482,8024,9041.740344252881,5.364285384795887,0.12799896368903887,24.0,15.0,34.0,73.0
Hawaii,2003,183829.0,2078877,170377,1873318,35182,1602392,888473,521929,128941.0,63049,476485,11308.754331471095,2592.001262042442,0.03934680153171009,7.0,1.0,3.0,11.0
Idaho,2003,248515.0,1685984,162530,994022,529432,1726941,924434,510284,69672.0,185850,-40957,6784.234352051184,-164.80695330261756,0.10995479931843999,48.0,27.0,27.0,102.0
Illinois,2003,2062664.0,19627346,1618724,6792637,11215985,21278177,10409933,6336325,706758.0,2727980,-1650831,9515.532340701151,-800.3392699925921,0.13517568706717945,21.0,48.0,39.0,108.0
Indiana,2003,999713.0,8246076,582940,4569923,3093213,9777720,4785880,2848989,377679.0,859389,-1531644,8248.443303228027,-1532.083708024203,0.09686599442714708,35.0,51.0,19.0,105.0
Iowa,2003,482210.0,4374803,304688,1974708,2095407,4517990,2157225,1208401,284796.0,459042,-143187,9072.40206549014,-296.9390929263184,0.11170361876877374,23.0,34.0,29.0,86.0
Kansas,2003,470264.0,4068800,311152,2397661,1359987,3818740,2068389,1196089,167265.0,235653,250060,8652.161339162683,531.7438715274824,0.0642562188539225,27.0,3.0,7.0,37.0
Kentucky,2003,660782.0,4872025,503734,2904331,1463960,4700494,2688476,1473773,282473.0,127011,171531,7373.120030509305,259.5878822365016,0.027781806155346343,44.0,7.0,2.0,53.0
Louisiana,2003,723252.0,5478321,739078,2638985,2100258,5515322,3009591,1645457,337709.0,409705,-37001,7574.5673707089645,-51.15920868521622,0.07583672036934272,39.0,19.0,11.0,69.0
Maine,2003,203848.0,2162605,163516,874208,1124881,2154117,1255095,569146,79491.0,137716,8488,10608.909579686826,41.63886817628821,0.06745995979324479,13.0,13.0,9.0,35.0
Maryland,2003,866743.0,8700979,571108,3317403,4812468,8732518,4738579,2630831,385935.0,674852,-31539,10038.706975424087,-36.387948907576984,0.08005174730792175,17.0,18.0,13.0,48.0
